Parent,Standard Name,Clause Number,Clause Title,Clause Description,Applicable,Applicability,Heading
8.2,DESC-ICS,8.2.10,ICS Security Requirements and Specifications,Ensures specification of security requirements on contracts/agreements pertaining to installation of ICS systems in accordance with the organization’s ICS Cybersecurity framework.,Yes,Company,No
8.2,DESC-ICS,8.2.11,ICS Security Requirements and Specifications,"Wherever deemed appropriate, the organization chooses to acquire security certified ICS products, or the organization enables independent security evaluation of the ICS product prior to Acquisition.",Yes,Company,No
8,DESC-ICS,8.3,Secure and Correct Processing of ICS Systems,,Yes,Company,Yes
8.3,DESC-ICS,8.3.1,Secure and Correct Processing of ICS Systems,Conducts testing to validate integrity of data input controls on Industrial Control systems.,Yes,Company,No
8.3,DESC-ICS,8.3.2,Secure and Correct Processing of ICS Systems,Identifies integrity requirements for processed messages and information in the ICS systems and ensures implementing adequate controls to protect it.,Yes,Company,No
8.3,DESC-ICS,8.3.3,Secure and Correct Processing of ICS Systems,Integrates validation checks into Industrial Control systems processing to detect any loss of integrity in processed information.,Yes,Company,No
8.3,DESC-ICS,8.3.4,Secure and Correct Processing of ICS Systems,Conducts testing to validate integrity of data output from Industrial Control systems.,Yes,Company,No
8.3,DESC-ICS,8.3.5,Secure and Correct Processing of ICS Systems,"Adopts transmission security measures, such as cryptography, where feasible, to enable security for ICS information in transit. Thereby, ensuring integrity of transmitted information.",Yes,Company,No
8.3,DESC-ICS,8.3.6,Secure and Correct Processing of ICS Systems,"Ensures integrity of ICS applications and other relevant ICS software by enabling detection, recording, reporting and protection against unauthorized changes.",Yes,Company,No
8.3,DESC-ICS,8.3.7,Secure and Correct Processing of ICS Systems,"Wherever feasible, the organization enables automated notifications to designated users upon detection of anomalous changes to the ICS software.",Yes,Company,No
8.3,DESC-ICS,8.3.8,Secure and Correct Processing of ICS Systems,Enables validation of syntax and content of any input that affects the operation of the ICS environment directly.,Yes,Company,No
8,DESC-ICS,8.4,"Securing ICS Systems Files, Source Codes and Data",,Yes,Company,Yes
8.4,DESC-ICS,8.4.1,"Securing ICS Systems Files, Source Codes and Data",Implements restrictive ICS system procedures on the installation and maintenance of software in the operational ICS systems environments.,Yes,Company,No
8.4,DESC-ICS,8.4.2,"Securing ICS Systems Files, Source Codes and Data",Implements protection controls on the use of testing data.,Yes,Company,No
8.4,DESC-ICS,8.4.3,"Securing ICS Systems Files, Source Codes and Data",Implements access control procedures on ICS systems/application source codes.,Yes,Company,No
8.4,DESC-ICS,8.4.4,"Securing ICS Systems Files, Source Codes and Data",Ensures the Operator stations only process authorized executable code and ensures compilers and command windows are disabled.,Yes,Company,No
8.4,DESC-ICS,8.4.5,"Securing ICS Systems Files, Source Codes and Data",Enables mechanisms to store all previously installed ICS system configurations and enables mechanisms to rollback configurations in case of operational issues.,Yes,Company,No
8.4,DESC-ICS,8.4.6,"Securing ICS Systems Files, Source Codes and Data",Enables adequate security controls for ICS Information systems in test environments such as authorization control for replication of operational information into test environment and purging of operational information post completion of testing.,Yes,Company,No
8.4,DESC-ICS,8.4.7,"Securing ICS Systems Files, Source Codes and Data",Restricts access to program source codes only to authorized personnel.,Yes,Company,No
8.4,DESC-ICS,8.4.8,"Securing ICS Systems Files, Source Codes and Data",Ensures ICS operator stations do not house Program source libraries.,Yes,Company,No
8.4,DESC-ICS,8.4.9,"Securing ICS Systems Files, Source Codes and Data",Enables change control mechanisms for managing changes to the program code such as updating program code and copying program code.,Yes,Company,No
8,DESC-ICS,8.5,Managing Changes in Software Development,,Yes,Company,Yes
8.5,DESC-ICS,8.5.1,Managing Changes in Software Development,"Implements change management controls on the software development processes, whether performed in-house or outsourced.",Yes,Company,No
8.5,DESC-ICS,8.5.2,Managing Changes in Software Development,Tests and verifies the operational status of all information systems/applications after implementing any change.,Yes,Company,No
8.5,DESC-ICS,8.5.3,Managing Changes in Software Development,Implements controls to limit the risk of changes to software packages.,Yes,Company,No
8.5,DESC-ICS,8.5.4,Managing Changes in Software Development,Implements controls to prevent information leakage in all ICS systems/application environments.,Yes,Company,No
8.5,DESC-ICS,8.5.5,Managing Changes in Software Development,"Implements security controls on outsourced software/ application development covering all stages of the project including source code management, application maintenance etc.",Yes,Company,No
8,DESC-ICS,8.6,Securing Testing,,Yes,Company,Yes
8.6,DESC-ICS,8.6.1,Securing Testing,Performs technical security reviews and vulnerability tests to periodically assess technical infrastructure and information systems/ applications security against latest threats and vulnerabilities.,Yes,Company,No
8.6,DESC-ICS,8.6.2,Securing Testing,Conducts periodic code reviews on all information systems/ applications developed in house or by an external party.,Yes,Company,No
8.6,DESC-ICS,8.6.3,Securing Testing,Identifies current upgrades and updates available for individual ICS assets and the released versions of the updates compatible to the ICS systems on a periodic basis.,Yes,Company,No
8.6,DESC-ICS,8.6.4,Securing Testing,Enables provision of test environment for testing patch updates prior to deployment in the actual operational environment to avoid any unwarranted disruption of systems because of system patches.,Yes,Company,No
8.6,DESC-ICS,8.6.5,Securing Testing,"Enables maintenance of a system inventory capturing information relating to ICS system installed versions, authorized versions, effective versions and released versions and ensures mechanisms to update the inventory at periodic intervals.",Yes,Company,No
8.6,DESC-ICS,8.6.6,Securing Testing,Ensures patches are applied for system components within the ICSenvironment whenever a vulnerability is identified or as communicated by vendors.,Yes,Company,No
8,DESC-ICS,8.7,Deployment of ICS Systems/Applications,,Yes,Company,Yes
8.7,DESC-ICS,8.7.1,Deployment of ICS Systems/Applications,Deploys the ICS systems/ applications into production environment after successful completion of testing & fixing of defects identified.,Yes,Company,No
8.7,DESC-ICS,8.7.2,Deployment of ICS Systems/Applications,Implements security sign off process to confirm the implementation of security controls on all ICS systems/applications prior to deployment.,Yes,Company,No
8,DESC-ICS,8.8,Cryptography Controls,,Yes,Company,Yes
8.8,DESC-ICS,8.8.1,Cryptography Controls,"Develops, distributes and maintains a policy on the use of cryptography and key management wherever applicable (e.g. during development and maintenance of information systems/applications etc.).",Yes,Company,No
8.8,DESC-ICS,8.8.2,Cryptography Controls,Implements cryptography and key management mechanisms as required by the organization.,Yes,Company,No
8.8,DESC-ICS,8.8.3,Cryptography Controls,Implements protection and security controls on all cryptographic keys used by the organization in accordance with good industry practices.,Yes,Company,No
8.8,DESC-ICS,8.8.4,Cryptography Controls,"Wherever applicable, the organization ensures adherence to the Dubai PKI requirements within the ICS:",Yes,Company,No
8.8,DESC-ICS,8.8.a,Cryptography Controls,Certificate validation by means of validation of the certificate signature.,Yes,Company,No
8.8,DESC-ICS,8.8.b,Cryptography Controls,Creation of a certification path to an accepted Certification Authority for validation of certificates.,Yes,Company,No
8.8,DESC-ICS,8.8.c,Cryptography Controls,Validation of certificates by verification of a certificate’s revocation status.,Yes,Company,No
8.8,DESC-ICS,8.8.d,Cryptography Controls,Enforcement of user control on the corresponding private key.,Yes,Company,No
8.8,DESC-ICS,8.8.e,Cryptography Controls,Mapping the authenticated identity to a user.,Yes,Company,No
8.8,DESC-ICS,8.8.5,Cryptography Controls,Enables mechanisms to physically secure the relevant private keys within the ICS environment by means good industry practices.,Yes,Company,No
8.8,DESC-ICS,8.8.6,Cryptography Controls,Employs mechanisms to record actions taken by a user to define responsibility of the action to the user.,Yes,Company,No
8.8,DESC-ICS,8.8.7,Cryptography Controls,Deploys Cryptographic encryption mechanisms on the ICS environment after considering impact on system performance and operations.,Yes,Company,No
,DESC-ICS,9,Environmental and Physical Security,,Yes,Company,Yes
9,DESC-ICS,9.1,Environmental/Physical Threats Protection Policy and Procedure,,Yes,Company,Yes
9.1,DESC-ICS,9.1.1,Environmental/Physical Threats Protection Policy and Procedure,"Develops, distributes, and maintains a documented, environmental threats protection policy that addresses the organization’s requirements for placing environmental protection controls.",Yes,Company,No
9.1,DESC-ICS,9.1.2,Environmental/Physical Threats Protection Policy and Procedure,Supplements the environmental threats protection policy with a documented procedure to facilitate the implementation of the environmental threats protection policy.,Yes,Company,No
9.1,DESC-ICS,9.1.3,Environmental/Physical Threats Protection Policy and Procedure,"Ensures the Environmental and Physical protection policy and procedures are periodically reviewed and updated; incorporating changes to the ICSenvironment, current threats to the ICS and change in business requirements.",Yes,Company,No
9,DESC-ICS,9.2,Protection from Environmental Threats,,Yes,Company,Yes
9.2,DESC-ICS,9.2.1,Protection from Environmental Threats,"Implements adequate protection controls against environmental threats, such as fire, floods, earthquakes, etc.",Yes,Company,No
9.2,DESC-ICS,9.2.2,Protection from Environmental Threats,"Controls humidity and temperature level on ICS rooms, and continuously monitors it.",Yes,Company,No
9.2,DESC-ICS,9.2.3,Protection from Environmental Threats,Implements fire suppression and detection systems.,Yes,Company,No
9.2,DESC-ICS,9.2.4,Protection from Environmental Threats,Implements control for monitoring water leakage at the ICS rooms.,Yes,Company,No
9.2,DESC-ICS,9.2.5,Protection from Environmental Threats,"Wherever applicable, Protects ICS systems and components from dust by provisioning a filtered environment.",Yes,Company,No
9.2,DESC-ICS,9.2.6,Protection from Environmental Threats,Deploys suitable alarming mechanisms to indicate unfavorable environmental conditions to facilitate necessary actions from ICS system users and owners.,Yes,Company,No
9,DESC-ICS,9.3,Secure Working Areas,,Yes,Company,Yes
9.3,DESC-ICS,9.3.1,Secure Working Areas,"Implements adequate physical security mechanisms in control rooms, datacenters, and other working areas, based on criticality of such areas within the ICS environment.",Yes,Company,No
9.3,DESC-ICS,9.3.2,Secure Working Areas,Provides employees with guidelines and awareness on the implemented protection controls in the working areas.,Yes,Company,No
9.3,DESC-ICS,9.3.3,Secure Working Areas,Implements security controls over delivery and loading areas.,Yes,Company,No
9.3,DESC-ICS,9.3.4,Secure Working Areas,"Enables appropriate Physical Access limitation mechanisms for Control rooms, Electrical rooms, Server rooms etc. within the ICS to prevent unwarranted users from accessing these critical ICS environments.",Yes,Company,No
9.3,DESC-ICS,9.3.5,Secure Working Areas,Reviews physical access lists to the ICS environment and ensures appropriate access provision in line with user roles and responsibilities and enables removal and addition of users to the access list.,Yes,Company,No
9.3,DESC-ICS,9.3.6,Secure Working Areas,"Wherever deemed necessary, develops secondary control rooms for ascertaining appropriate operation of ICS if the primary control room becomes inhabitable.",Yes,Company,No
9.3,DESC-ICS,9.3.7,Secure Working Areas,"Enables mechanisms to monitor physical access to the ICS environment to detect, analyze and respond to physical security incidents.",Yes,Company,No
9.3,DESC-ICS,9.3.8,Secure Working Areas,Maintains physical/digital records about visitors who access the ICS environment.,Yes,Company,No
9,DESC-ICS,9.4,Secure Working Areas,,Yes,Company,Yes
9.4,DESC-ICS,9.4.1,Secure Working Areas,Places ICS systems related equipment in secure and protected locations.,Yes,Company,No
9.4,DESC-ICS,9.4.2,Secure Working Areas,Protects power equipment and cabling of the ICS environment from damages.,Yes,Company,No
9.4,DESC-ICS,9.4.3,Secure Working Areas,Implements UPS (uninterruptable power supply) systems to avoid power failures where deemed necessary.,Yes,Company,No
9.4,DESC-ICS,9.4.4,Secure Working Areas,Implements maintenance procedures for all ICS systems and components.,Yes,Company,No
9.4,DESC-ICS,9.4.5,Secure Working Areas,Implements adequate security controls on the disposal or re-use of any equipment.,Yes,Company,No
9.4,DESC-ICS,9.4.6,Secure Working Areas,Enables provisions to physically track the location and movement of ICS assets.,Yes,Company,No
9.4,DESC-ICS,9.4.7,Secure Working Areas,Ensures appropriate authorization mechanisms prior to movement of ICSequipment outside the premises.,Yes,Company,No
9.4,DESC-ICS,9.4.8,Secure Working Areas,Maintains records of personnel with authorized access to designated zones within the ICS environment.,Yes,Company,No
9.4,DESC-ICS,9.4.9,Secure Working Areas,"Enables mechanisms to control ICS environment access to visitors by enabling necessary access control mechanisms such as entry/exit logs, swipe cards, electronic passes etc.",Yes,Company,No
9,DESC-ICS,9.5,Periodic Testing,,Yes,Company,Yes
9.5,DESC-ICS,9.5.1,Periodic Testing,Conducts testing and assessment periodically over all implemented environmental and physical protection controls.,Yes,Company,No
,DESC-ICS,10,Roles and Responsibilities of Human Resources,,Yes,Company,Yes
10,DESC-ICS,10.1,Prior to Employment Security Controls,,Yes,Company,Yes
10.1,DESC-ICS,10.1.1,Prior to Employment Security Controls,"Defines security roles and responsibilities of employees, contractors and outsourced employees in alignment with the organization’s ICS Cybersecurity framework.",Yes,Company,No
10.1,DESC-ICS,10.1.2,Prior to Employment Security Controls,"Documents security roles and responsibilities in the job descriptions and objectives of all employees, contractors and outsourced employees.",Yes,Company,No
10.1,DESC-ICS,10.1.3,Prior to Employment Security Controls,Conducts screening and background verification for all employment candidates according to the applicable laws and policies of Dubai Government.,Yes,Company,No
10.1,DESC-ICS,10.1.4,Prior to Employment Security Controls,"Ensures that all employment contracts define security obligations of employees, contractors and outsourced employees, and that approved candidates read and agree to such obligations.",Yes,Company,No
10.1,DESC-ICS,10.1.5,Prior to Employment Security Controls,"Incorporates ICS cybersecurity awareness as part of induction programs of newly hired employees, contractors and outsourced employees.",Yes,Company,No
10.1,DESC-ICS,10.1.6,Prior to Employment Security Controls,"Conducts ICS Cybersecurity awareness, learning and training sessions for operators, automation engineers and other personnel working within ICSenvironment.",Yes,Company,No
10,DESC-ICS,10.2,During Employment Security Controls,,Yes,Company,Yes
10.2,DESC-ICS,10.2.1,During Employment Security Controls,"Establishes the requirement for the senior management to be responsible for enforcing compliance of their employees, contractors and outsourced employees to the organization’s information security and ICS cybersecurity policies and procedures.",Yes,Company,No
10.2,DESC-ICS,10.2.2,During Employment Security Controls,"Sets a clear and defined disciplinary action for employees, contractors and outsourced employees who may breach information security and ICS Cybersecurity policies and procedures.",Yes,Company,No
10.2,DESC-ICS,10.2.3,During Employment Security Controls,"Ensures that all employees, contractors and outsourced employees are provided with information and ICS cybersecurity awareness programs on a regular basis.",Yes,Company,No
10.2,DESC-ICS,10.2.4,During Employment Security Controls,Ensures periodic ICS Cybersecurity awareness and training sessions for relevant employees on a regular basis.,Yes,Company,No
10,DESC-ICS,10.3,Termination/ Changes of Employment Security Controls,,Yes,Company,Yes
10.3,DESC-ICS,10.3.1,Termination/ Changes of Employment Security Controls,Implements security controls on the process of terminating or changing employment.,Yes,Company,No
10.3,DESC-ICS,10.3.2,Termination/ Changes of Employment Security Controls,Communicates termination responsibilities to the terminated employee in relation to confidentiality agreements and employment contracts.,Yes,Company,No
10.3,DESC-ICS,10.3.3,Termination/ Changes of Employment Security Controls,Implements a process for returning all organization’s assets upon termination of employment.,Yes,Company,No
10.3,DESC-ICS,10.3.4,Termination/ Changes of Employment Security Controls,Implements a process for revoking or changing access rights and privileges to the ICS environment upon termination or change of employment.,Yes,Company,No
,DESC-ICS,11,Compliance and Audit,,Yes,Company,Yes
11,DESC-ICS,11.1,Compliance with Federal and Local Government Legal Requirements,,Yes,Company,Yes
11.1,DESC-ICS,11.1.1,Compliance with Federal and Local Government Legal Requirements,Ensures compliance with the following laws and regulations:,Yes,Company,No
11.1.1,DESC-ICS,11.1.1.a,Compliance with Federal and Local Government Legal Requirements,Federal Law No. 1 of Year 2006 on Electronic Commerce and Transactions.,Yes,Company,No
11.1.1,DESC-ICS,11.1.1.b,Compliance with Federal and Local Government Legal Requirements,Federal Decree-Law No. 5 of 2012 on Combating Cybercrimes.,Yes,Company,No
11.1.1,DESC-ICS,11.1.1.c,Compliance with Federal and Local Government Legal Requirements,Transactions and electronic commerce Law No. 2 issued in Year 2002 by Dubai Government.,Yes,Company,No
11.1.1,DESC-ICS,11.1.1.d,Compliance with Federal and Local Government Legal Requirements,The Executive Council of Dubai Government Resolution Number (13)issued in Year 2012 for Information Security Regulation.,Yes,Company,No
11.1.1,DESC-ICS,11.1.1.e,Compliance with Federal and Local Government Legal Requirements,The Government of Dubai Human Resources Management Law No. (27)of 2006 and its amendment.,Yes,Company,No
11.1.1,DESC-ICS,11.1.1.f,Compliance with Federal and Local Government Legal Requirements,Dubai Electronic Security Centre Law No.11 of 2014.,Yes,Company,No
11.1.1,DESC-ICS,11.1.1.g,Compliance with Federal and Local Government Legal Requirements,Law No.26 of 2015 Regulating Data Dissemination and Exchange in the Emirate of Dubai.,Yes,Company,No
11.1.1,DESC-ICS,11.1.1.h,Compliance with Federal and Local Government Legal Requirements,Any other laws pertaining to ICS security.,Yes,Company,No
11,DESC-ICS,11.2,Compliance Controls,,Yes,Company,Yes
11.2,DESC-ICS,11.2.1,Compliance Controls,Identifies the laws or regulations that are applicable to the organization’s ICSenvironment and ensures adherence to the ICS security framework.,Yes,Company,No
11.2,DESC-ICS,11.2.2,Compliance Controls,Develops and distributes policies and procedures for conducting periodic security audits with the organization’s ICS environment.,Yes,Company,No
11.2,DESC-ICS,11.2.3,Compliance Controls,"Ensures mechanisms to update the Audit and Compliance policy and procedures to accommodate for changes in ICS risks, ICS technical and process environment and business requirements.",Yes,Company,No
11.2,DESC-ICS,11.2.4,Compliance Controls,"Develops, distributes and maintains a documented Intellectual Property Rights (IPR) policy that defines the legal obligations pertaining to the use ofICS assets (e.g. hardware, software, etc.).",Yes,Company,No
11.2,DESC-ICS,11.2.5,Compliance Controls,Ensures compliance with Intellectual Property Rights (e.g. software license agreements).,Yes,Company,No
11.2,DESC-ICS,11.2.6,Compliance Controls,"Prohibits employees from manipulating, making or distributing unauthorized copies of copyrighted/licensed materials, software or applications.",Yes,Company,No
11.2,DESC-ICS,11.2.7,Compliance Controls,"Ensures validation of security controls deployed during installation of ICSassets for accuracy and ensures adherence to change management controls defined within the ICS Cybersecurity policy by means of reviewing audit trails, approvals etc.",Yes,Company,No
11,DESC-ICS,11.3,Protection of Private Information of Individuals and Corporates,,Yes,Company,Yes
11.3,DESC-ICS,11.3.1,Protection of Private Information of Individuals and Corporates,"Develops, distributes and maintains a privacy policy that addresses the legal requirements for the prevention of misuse of personal information of the entity's customers, for any reason.",Yes,Company,No
11.3,DESC-ICS,11.3.2,Protection of Private Information of Individuals and Corporates,"Develops, distributes and maintains a formal procedure detailing the protection measures required for the processing of private data and information.",Yes,Company,No
11.3,DESC-ICS,11.3.3,Protection of Private Information of Individuals and Corporates,Conducts continuous awareness sessions on the requirements of protecting private data and information for the responsible personnel.,Yes,Company,No
11.3,DESC-ICS,11.3.4,Protection of Private Information of Individuals and Corporates,"Restricts, minimizes and monitors access to personal and private data, and applies proper controls on the process of collecting, processing and transmission of personal data, which should be on «a need-to-know» basis.",Yes,Company,No
11.3,DESC-ICS,11.3.5,Protection of Private Information of Individuals and Corporates,Sets proper accountability procedures in the event of any private information and personal data leakage.,Yes,Company,No
11,DESC-ICS,11.4,Compliance with ICS Security Policies and Standards,,Yes,Company,Yes
11.4,DESC-ICS,11.4.1,Compliance with ICS Security Policies and Standards,Conducts periodic reviews to verify compliance of the implemented ICSsecurity policies and procedures.,Yes,Company,No
11.4,DESC-ICS,11.4.2,Compliance with ICS Security Policies and Standards,Conducts periodic technical reviews on ICS systems to verify compliance with the security controls/standard.,Yes,Company,No
11,DESC-ICS,11.5,Audit of ICS Security Controls Implementation,,Yes,Company,Yes
11.5,DESC-ICS,11.5.1,Audit of ICS Security Controls Implementation,Plans and conducts internal periodic audits to verify and report effectiveness of the implementation of the ICS Security controls.,Yes,Company,No
11,DESC-ICS,11.6,Audit of Information Security Regulation Implementation,,Yes,Company,Yes
11.6,DESC-ICS,11.6.1,Audit of Information Security Regulation Implementation,"Develops, distributes and maintains a policy for conducting periodic ICSsecurity audits (risk-based audit) covering governance, operations and assurance aspects of the organization’s operations.",Yes,Company,No
11.6,DESC-ICS,11.6.2,Audit of Information Security Regulation Implementation,"Develops, distributes and maintains a documented procedure, explaining the process for execution, to facilitate the implementation of the ICS security audit policy.",Yes,Company,No
11.6,DESC-ICS,11.6.3,Audit of Information Security Regulation Implementation,"Plans and conducts internal periodic audits to verify and report effectiveness of the implementation of the ICS Security & applicable standards, in line with the defined policy and procedure.",Yes,Company,No
,DESC-ICS,12,ICS Security Key Performance Indicators,,Yes,Company,Yes
12,DESC-ICS,12.1,ICS Security Key Performance Indicators,,Yes,Company,Yes
12.1,DESC-ICS,12.1.1,ICS Security Key Performance Indicators,"Develops, selects and implements a set of ICS Security Key Performance Indicators (KPIs) that are:",Yes,Company,No
12.1.1,DESC-ICS,12.1.1.a,ICS Security Key Performance Indicators,In support of the government organization strategic and operational planning processes to secure the organization’s mission.,Yes,Company,No
12.1.1,DESC-ICS,12.1.1.b,ICS Security Key Performance Indicators,Integrated into the annual reporting of effectiveness of the government organization's ICS security controls.,Yes,Company,No
12.1.1,DESC-ICS,12.1.1.c,ICS Security Key Performance Indicators,Defined to assist in monitoring compliance with the ICS Cybersecurity Regulation.,Yes,Company,No
12.1.1,DESC-ICS,12.1.1.d,ICS Security Key Performance Indicators,"Reviewed regularly and used to support policy, resources allocation, budget decisions, and as an assessment of ICS security program posture and operational risks.",Yes,Company,No
12.1.1,DESC-ICS,12.1.1.e,ICS Security Key Performance Indicators,Used to address issues and deficiencies and take corrective actions such as revising policies and procedures or provide information security trainings for employees.,Yes,Company,No
12.1.1,DESC-ICS,12.1.1.f,ICS Security Key Performance Indicators,"Built from inputs of a variety of organization’s stakeholders, such as ICSoperations, incident response team, human resources, physical security team, or others using different data sources, such as risk assessments, penetration testing, and continuous monitoring.",Yes,Company,No
12.1.1,DESC-ICS,12.1.1.g,ICS Security Key Performance Indicators,"Yielding quantifiable information for comparison purposes, while using formulas for analysis, and tracking changes using the same point of reference. Percentage, average or absolute numbers can be used, depending on the activity being measured.",Yes,Company,No
12.1.1,DESC-ICS,12.1.1.h,ICS Security Key Performance Indicators,Measured over consistent and repeatable ICS security processes.,Yes,Company,No
12.1,DESC-ICS,12.1.2,ICS Security Key Performance Indicators,Integrates ICS security measurements and Key Performance Indicators(KPIs) in organization’s business processes and assigns business process owners the responsibility of achieving such measures.,Yes,Company,No
12.1,DESC-ICS,12.1.3,ICS Security Key Performance Indicators,Approves the organization’s ICS Security measurements and Key Performance Indicators (KPIs) by the higher management of the organization.,Yes,Company,No
12.1,DESC-ICS,12.1.4,ICS Security Key Performance Indicators,Conducts periodic reviews on the results of ICS security measurements to ensure continual improvement of the ICS Cybersecurity program within the organization.,Yes,Company,No
12.1,DESC-ICS,12.1.5,ICS Security Key Performance Indicators,Records actions and events that could have an impact on the effectiveness or performance of the ICS Cybersecurity standard.,Yes,Company,No
12,DESC-ICS,12.2,ICS Cybersecurity Dashboard,,Yes,Company,Yes
12.2,DESC-ICS,12.2.1,ICS Cybersecurity Dashboard,"Implements, as necessary, an integrated dashboard (or incorporates into an existing organization Performance Measurement tool) for combining all measured ICS Cybersecurity KPIs to be reviewed and monitored in a periodic manner, by the senior management and the responsible stakeholders, to ease the decision-making process, and facilitate the overall planning for  Cybersecurity program.",Yes,Company,No
,DESC-ICS,13,Cloud Security,,Yes,Company,Yes
13,DESC-ICS,13.1,Cloud Security Policy/Procedure,,Yes,Company,Yes
13.1,DESC-ICS,13.1.1,Cloud Security Policy/Procedure,"Develops, distributes and maintains a documented cloud security policy that addresses the organization’s requirements for overall cloud management process and outlines roles and responsibilities of relevant stakeholders.",Yes,Company,No
13.1,DESC-ICS,13.1.2,Cloud Security Policy/Procedure,"Develops, distributes and maintains a cloud security procedure that provides implementation details for establishing and managing secured cloud service environment.",Yes,Company,No
13.1,DESC-ICS,13.1.3,Cloud Security Policy/Procedure,"Conducts periodic reviews of cloud security policy and procedure or if significant changes occur to ensure their continuing suitability, adequacy, and effectiveness.",Yes,Company,No
13,DESC-ICS,13.2,Logical Access Control,,Yes,Company,Yes
13.2,DESC-ICS,13.2.1,Data Location,,Yes,Company,Yes
13.2.1,DESC-ICS,13.2.1.1,Data Location,"Prevents handling and storing classified data with a Cloud Service Provider (CSP), outside the legal jurisdiction or geographical boundaries of the United Arab Emirates, including for CSP’s Backup or Disaster Recovery purposes.",Yes,Company,No
13.2,DESC-ICS,13.2.2,Data Classification and Handling,,Yes,Company,Yes
13.2.2,DESC-ICS,13.2.2.1,Data Classification and Handling,Defines and communicates required security controls to Cloud Service Provider (CSP) for handling of data in accordance to the applicable laws& regulations (in line with ISR Ref. 11.1 and 11.2).,Yes,Company,No
13.2,DESC-ICS,13.2.3,Architecture and Deployment Model,,Yes,Company,Yes
13.2.3,DESC-ICS,13.2.3.1,Architecture and Deployment Model,Ensures adequate cloud security controls are implemented by Cloud Service Provider (CSP) as per architecture and deployment model approved by the organization.,Yes,Company,No
13.2,DESC-ICS,13.2.4,Service Agreements,,Yes,Company,Yes
13.2.4,DESC-ICS,13.2.4.1,Service Agreements,Ensures through a documented agreement that the Cloud Service Provider (CSP) has no ownership rights on the stored data regardless of the format or storage medium.,Yes,Company,No
13.2.4,DESC-ICS,13.2.4.2,Service Agreements,Develops and maintains a documented agreement with Cloud Service Provider (CSP) addressing the following ICS security requirements as a minimum:,Yes,Company,No
13.2.4.2,DESC-ICS,13.2.4.2.a,Service Agreements,ICS security risks and mitigation,Yes,Company,No
13.2.4.2,DESC-ICS,13.2.4.2.b,Service Agreements,Data protection and storage,Yes,Company,No
13.2.4.2,DESC-ICS,13.2.4.2.c,Service Agreements,ICS security incidents handling,Yes,Company,No
13.2.4.2,DESC-ICS,13.2.4.2.d,Service Agreements,"Change, Recovery and Restoration.",Yes,Company,No
13.2,DESC-ICS,13.2.5,Data Portability and Continuity,,Yes,Company,Yes
13.2.5,DESC-ICS,13.2.5.1,Data Portability and Continuity,Ensures that Cloud Service Provider (CSP) has the adequate measures and processes to support data portability whenever the organization decides to move its data.,Yes,Company,No
13.2.5,DESC-ICS,13.2.5.2,Data Portability and Continuity,"Ensures cloud security controls are implemented by Cloud Service Provider (CSP), addressing organization’s requirements for periodic testing of the continuity and disaster recovery plans and communicating the results to organization.",Yes,Company,No
13.2,DESC-ICS,13.2.6,Compliance and Monitoring,,Yes,Company,Yes
13.2.6,DESC-ICS,13.2.6.1,Compliance and Monitoring,Conducts periodic reviews or audits to verify Cloud Service Provider’s(CSPs) compliance with the applicable security policies and contractual requirements.,Yes,Company,No
